"","MEgreenyellow","MElightcyan","MEmagenta","MEmidnightblue","MEsalmon","MEtan","MEturquoise","MElightyellow","MEblue","MEgreen","MElightgreen","MEpurple","MEblack","MEcyan","MEgrey60","MEroyalblue","MEpink","MEred","MEgrey"
"D08A2",0.0632325928653707,0.125205113421777,-0.0875912581894921,-0.0726462383003091,-0.08604605282162,-0.0947322867029976,-0.154283133318201,0.152159005775621,0.0985591904215069,-0.0231513967008787,0.0479046219674243,-0.0153602577471545,0.0931262395627068,-0.0530534709578602,-0.00506004973338083,-0.0763402862930035,0.00560042155604747,0.0161299177544359,-0.0295791446607948
"D08A3",-0.0485529207723782,-0.0370733158496464,-0.0662363179307402,-0.109379156117014,-0.124373502480594,-0.0271523635745117,-0.106024948951273,-0.00391155725276431,0.0469869818166062,-0.0274941058106385,0.00645025222004811,0.046540471846744,0.0964601709841936,0.0829006633545554,0.0658879686188576,-0.102862248948595,0.0609420668032687,-0.0136845246569984,-0.0600161303415902
"D08A4",0.0211493275999377,0.0800838574929407,-0.0808457130906736,-0.0197336979978581,0.021267064181541,0.0573547270352123,0.0672583306110421,-0.0321002447472082,0.00168487043685236,0.0613564123442338,0.0476274890609342,-0.0231248297817161,0.0130799025045371,0.0229466368191574,-0.0242990751905463,-0.0330655916052822,-0.0731417937383935,-0.0706236712796389,0.0172826602216556
"D08A5",0.111073619383099,0.0648443016716227,0.0886551436515317,0.0586305099577962,-0.0164537134996408,-0.0185534620536947,-0.0889370887064643,-0.0738868573527116,-0.100449483571809,-0.11946947971226,-0.117263533258141,-0.0490983140482801,0.0156721173878652,0.00760662070371315,0.0725233847226449,-0.0387995471169994,0.0242189908486258,-0.013309118999654,-0.0803871442384545
"D08A6",-0.044417167766627,-0.0342102592025991,0.0408636416529734,-0.0274238419308477,-0.0314197355213937,0.00232984039448042,-0.130479287350449,0.0069189710889355,0.0639476951173756,-0.0589672258845914,-0.0864186542014801,0.131856095649408,-0.01915850404182,-0.0027282440966437,0.00203801677614422,0.460684465376565,0.0953492951817162,0.0699927791693163,-0.0741645737708272
"D09A1",-0.0197695771921381,0.0189321943303988,-0.0274972483130302,-0.1066011520778,-0.101762801642482,-0.0348518649522791,-0.0692321110197772,0.0587348953409628,0.06598538270975,0.000840198636546477,-0.00681849097380024,0.0357658670092522,0.036199116438614,-0.000306813596120306,0.00759271023120427,0.0540646970168008,0.0782916963116769,0.00847811919362976,-0.098113408996842
"D09A2",-0.0894119114571436,-0.0609719636545037,-0.0930296804648279,-0.122780358050013,-0.128601835757486,0.0609953702008331,0.013242613565219,-0.00519873661571024,0.0726689601767742,0.070268173275569,0.036905495947418,-0.0113355909736322,0.126560615053956,0.0997558146194088,0.0561786405665719,-0.0245726957589134,-0.0747303802268675,-0.0617441324576803,0.0111247152020904
"D09A3",-0.0100957803961523,0.0519050751343466,-0.0950159422742639,-0.0522441151076201,0.023201237121907,-0.0250897411918859,-0.0473070499513409,-0.0500885142493295,0.0404041932993627,0.0174513561345339,-0.0149289283055837,0.175019835732034,0.0312102086918171,0.125488274072188,0.00606594821757258,-0.075871172884173,0.0156679896190242,-0.0208980439004977,-0.0903659776730387
"D09A4",0.0228307226227656,-0.0583992688136409,0.0993780846757939,0.0715561259930345,0.045977769471297,0.0437757032586633,-0.0646672841624177,-0.0107413021330636,-0.122524706106997,-0.158938974537398,0.0785957985375615,-0.054187631983446,-0.0387650832057222,-0.00499147604491672,0.0661270417771596,-0.0517426162670828,0.0805034748922328,-0.0327490703833643,-0.0380497812694238
"D09A5",-0.0527513289444323,-0.112035961072225,0.104012264944964,-0.0229700727107816,-0.0673639165215661,0.0189013236879007,-0.035181161953826,-0.0434602766695614,-0.0284915501945948,-0.0368690796514263,-0.057491300058038,0.0316614413108594,0.0840004879222322,0.109961670411137,0.097774147803095,0.0473561329236041,-0.0491134604407275,-0.0402434962267968,-0.133641799436826
"D09A6",-0.0526757834232422,-0.0732677489710924,0.116279200560441,0.0891352502869525,0.113159838185938,-0.0174848360028477,-0.0116784351876264,-0.0585741937215433,-0.0597596070809557,-0.056073327702774,-0.0948019756876797,-0.0750017946185111,-0.00300223191812454,-0.082768172279373,0.0691987784331084,0.0391452909567618,-0.0169028332201524,-0.00971445139487807,0.0513413564470671
"D10A1",0.0727019192959193,0.0234385270410261,0.0856017188397162,0.0650106257731438,-0.0285118194267963,0.0713992897948069,-0.0734395662271457,-0.0587095762776251,-0.127892538700305,-0.1506633134961,0.198311906913137,0.0151403334464534,-0.0257967455128658,0.0665248177419854,0.0767432345958449,0.0425507250816726,0.0597556813900202,-0.0235418668277912,-0.125268308842493
"D10A2",-0.114352052626614,-0.0700016356809449,-0.102690386552893,-0.0809907963858704,-0.0403311337327608,0.019968655598724,0.0350142714235389,-0.00934749540190478,0.0764832867661431,0.0914716053931197,0.022941605542102,-0.0338732860872337,0.115677032414554,0.0632566094247758,0.0328249668055146,-0.0738961530417692,-0.0768678030191255,-0.0436479522216427,-0.000941485073721939
"D10A3",-0.0431404109792753,-0.0502387454657496,0.0223072341016954,-0.0139508740803632,-0.0271297917968534,0.158110085158331,0.0364649880241611,-0.0690407713507012,-0.0106569403427945,0.0233227396058951,0.0450568878199258,0.024028017690244,0.0343867210955864,0.0880202592826941,0.0504079239964948,-0.0465263635296378,0.0443820985308492,-0.0609738133281401,-0.00330843707883097
"D10A4",-0.0351875126934851,-0.0293994242067468,-0.0554029399958148,-0.11373559725113,-0.132327859624385,-0.0225539373956111,-0.142091592029016,0.0999311416942843,0.0498147608436226,-0.0323180360264761,0.0956902119370123,0.0889838770255691,0.161874515779581,0.180245592349527,0.0823047606471588,0.0896834333407092,0.0550118719992746,-0.0215169220679618,-0.0366498620452241
"D10A5",0.0851321947179472,0.0515647327074051,0.0505868413469592,0.109033372916816,0.119151987579628,0.183429774650233,0.0952919146717546,-0.0445316969638736,-0.0663814298279794,0.0327567370946034,-0.0593651488761275,-0.0546655181856282,-0.0355050949142735,-0.0332687411840961,-0.0561343825114659,-0.00539394625252252,-0.0302079222000625,-0.0598265066209101,0.0123041726192933
"D10A6",-0.0426581856127697,0.0190252006989258,-0.0442377720714434,-0.0412280156451319,-0.00401268595482822,-0.0765380499197145,-0.136786389174153,0.0410863992084615,0.054292298254847,-0.0329075963185964,-0.036705997225093,-0.0845766605730702,0.117719113478196,-0.0370391830733901,0.0374320025988438,0.195624335516121,-0.0198462201377383,-0.00315511723544333,-0.0218621165054763
"D11A1",0.115481338725554,0.00365941608995653,0.041513568584513,0.0984616330142436,0.0588924684425034,0.191035628810292,0.184827021042572,-0.0461226828908499,-0.127335636322673,0.0547093758141803,-0.118995886055219,-0.00730059082850386,-0.0775971828866008,0.0549939493459789,-0.0213810703483604,0.0990733795847469,-0.00763971830065458,-0.0537559772110027,0.00835603539369525
"D11A2",-0.0530864081969253,-0.107954485447587,0.127263403876078,0.0215374478083859,-0.05345817138988,-0.123371805714961,-0.058299241581489,0.107403294395143,-0.0569957964897651,-0.148077703528069,0.152530647950475,0.087269181667091,-0.00618606538290005,0.0593392608376803,0.14397910564093,-0.0164705680833798,0.00511626186979081,0.0400412134497957,-0.0771870030304392
"D11A3",0.0485272537601891,0.0654468743551376,-0.0725286061323589,-0.0626670492148574,-0.0892620244893706,-0.116239745954692,-0.138490660386267,0.157423614844379,0.0122842555211518,-0.044012275418096,-0.0317710183464962,-0.0628458199649576,0.111664710703467,-0.0170369643258482,0.0392741728943077,0.0665610011967308,0.0544263094581698,-0.0153077778295659,0.00300031765307689
"D11A4",-0.0127030566812079,0.050961042557585,-0.0691945553403774,-0.0724630824028533,-0.0908810835602789,0.0212371921970177,-0.0305518898582355,0.130284103657809,0.0337313998330585,0.0355491437748481,0.0308048688069609,-0.120309454642706,0.126064752926165,-0.0466458415144293,0.00774353577240546,0.0408283965989628,-0.0513207259832691,-0.0526349892186617,-0.0150615274981903
"D11A5",0.0149407498958639,0.0288957984540112,0.106248893659434,0.00531834626184642,-0.101597470940202,0.103595194669031,0.0323436109061789,0.0325300572059098,-0.0584390589978308,-0.00467200099733554,-0.0387523119294593,-0.0339846684325324,0.0192485341814691,0.0144302306952522,0.0261585201169277,0.0446177384253692,0.0538466397070178,0.109290438524343,-0.0953179321703869
"D11A6",0.0378384636105455,0.00605721411842331,0.0916006022196917,-0.0204656501707693,-0.0811156167785381,0.0030766948679625,-0.0518725667607062,0.0310736633480026,-0.0099260006363061,-0.0691868883526703,-0.0161304075950694,0.0234283566161966,0.0766332830955545,0.0912790599332911,0.124177667021727,0.0483692861054994,0.0562462100879532,0.62446764664373,0.0486305770807135
"D12A1",-0.132553696432462,-0.15617783764427,0.14688530462024,-0.0039464177968395,-0.0542250053270496,-0.00366706496641092,-0.0600055113787961,0.089562042666971,-0.0250954040736339,-0.0697363401580675,-0.0893011947622623,-0.000549043011924161,0.061204585013393,0.0624289980947288,0.111352626851843,0.033030049076481,0.0155155973796139,-0.014001780142739,-0.113814059102464
"D12A2",-0.0962331828854525,-0.113826506801057,0.0894651016908384,-0.0899945617502172,-0.104172885631142,-0.0992706117062576,-0.0899165580117108,0.0260386385350328,0.0351786873610054,-0.0998007967788192,-0.0100077143951736,0.306416017155175,0.00648549110893841,0.121999536109036,0.180088824210012,-0.0365030866391877,0.138600883689898,0.219437985277062,0.337860029809972
"D12A3",-0.00348454069534059,0.00651234072840352,0.0946779605858061,0.0355439463521262,-0.0673364820560107,0.0535528825450374,-0.0359453551784509,-0.0239626160836344,-0.0733874475574741,-0.0462817855044759,-0.113228565387387,0.0701436802702129,0.043071034924253,0.113334277918661,0.0590588695902489,-0.0434216210026493,-0.0506740312512614,-0.0334674209123273,-0.0897692577162906
"D12A4",-0.00906730042351321,-0.0349681645093188,0.108345176371094,-0.00131836660662999,-0.0292641039031415,0.0701217375341633,-0.0187406128982473,0.0908571337706405,-0.0770372722271247,-0.125454623814908,0.0549803816196481,-0.133880990199904,-0.0417435933829714,-0.0865982054749388,0.0825450442831529,-0.0468273928420632,0.247223144219514,0.00150788181010373,-0.0217784342219916
"D12A5",-0.223006814084125,-0.204481609013858,-0.0501564469203241,-0.19169975689851,-0.167342042140168,-0.124106901931237,-0.0162588582075636,0.193516255766538,0.135295114447341,0.0322100240808088,0.195290011426459,0.097171466403389,0.123483308983001,0.101435400636501,0.0575330353348503,-0.0580587342819209,-0.0407393203600257,-0.0305995123506822,0.110936028378841
"D12A6",-0.00220434375107946,0.0580565474230096,0.0175311619367639,0.0467180341622533,0.0779885670218692,-0.0649622886837069,0.000702931589710704,0.0615718751755487,-0.0125304086384538,-0.0073011932837114,-0.15335413753662,-0.0810722668308199,0.00906096127542421,-0.0593677481212136,0.0250519014293953,-0.0944247788573318,-0.055541904142424,-0.0483816196103661,0.0125619912996697
"D01B1",0.134750619480122,0.110194427120365,0.0518108039399693,-0.00984922846583455,-0.061291951873936,0.106921188878466,0.0383025415298413,-0.0418942735002611,-0.0476944507266236,0.00614094183221329,-0.068041968043414,-0.0727050465521657,-0.104118654236713,-0.147938359426455,-0.0744344554717806,-0.00251933569057618,0.317104175358611,0.0292692012750888,0.181769159671471
"D01B2",0.0115177802868547,0.0516410178652399,0.0468215676835935,0.0864992098453012,0.167044809062703,0.0741949019599355,0.121803738671524,-0.0249230423491837,-0.0407929691821609,0.0153894032821912,-0.127076957039395,-0.0528608318866057,-0.143730244005327,-0.128121174384431,-0.087305885243777,-0.0542918675967365,-0.0264253426460367,-0.0140269291372338,0.0479882604285844
"D01B3",-0.152496098364485,-0.177464884083507,-0.0202553402640204,-0.0950412691053804,0.00224596944127813,-0.144081789076203,-0.0340284720352443,0.134683771650998,0.135058548216416,0.0265140677157046,-0.049330359468118,0.162490007085839,-0.109501594300717,-0.112258073786657,-0.116373235865871,-0.0725299169819543,0.12155402466616,0.0935770091082297,0.0252124736754614
"D01B5",-0.048088543502699,-0.0575483138713978,0.0934992857055401,0.149471945964304,0.192639379808882,0.0170293942380852,0.114879300240358,-0.0784311358806685,-0.0894749807294558,-0.015649310016995,-0.114996593862765,-0.0449073318592351,-0.129444299823813,-0.12134981912399,-0.0867247420445727,-0.0296510602734827,0.0134223156103563,0.00109007561989224,0.0617695470802813
"D01B6",0.0795538885958613,-0.0672892576312098,0.100263399006708,0.0588142281935373,-0.06420747059469,-0.00210080371998271,0.00445012405761862,-0.0830649388003927,-0.0886169308279782,-0.0665643078870075,-0.0337533800268821,-0.0715588946269605,-0.026196185701292,-0.0873855103820738,0.0931706423161295,0.0822269775682555,0.0599606592970981,0.0229944040899264,0.117771260799684
"D02B1",0.00747309157335945,0.0399568584481933,-0.0568550627031527,-0.0543170933045303,-0.0696599964788691,-0.0337006144469649,-0.0784292451830135,0.0139517360780455,0.0449179005809942,0.0237303160174236,-0.0217675214228228,-0.00562780396461467,0.0703955779636019,0.0353162850511549,0.0252183815804496,0.0771531805811484,-0.0623002518769817,-0.0201527210409566,-0.118644878154435
"D02B2",-0.00231037755483206,0.00381086653506796,-0.0663753282463065,-0.0434471797424742,-0.0235886814226802,-0.0816798711355705,-0.0191069163312422,0.0719251506851358,0.0596326306391024,0.048357823390983,0.0615826158814706,-0.105621365573821,0.0620252620467618,-0.0370654146716941,-0.0702454790286187,0.0938467376982046,-0.0673975114922113,-0.0471415882002526,-0.0500554688597954
"D02B3",0.0321568014752427,0.00650779315200053,0.0970772371660573,0.0872389771642754,0.0179995488856851,0.000880967334945202,-0.00243123746544185,-0.0162487920409519,-0.132038076187448,-0.147160128870813,0.10088477963045,0.0248499700117506,-0.0357455880138548,0.0513876014440223,0.121937991576606,-0.0563264627922575,-0.0403569089923624,0.0540518147825123,-0.0737903370794348
"D02B4",-0.068506051776419,-0.00515042163324513,-0.0401337730021846,-0.020931451896919,0.0111790608276211,-0.0180820373232219,0.0392776147405129,0.0868205229989108,0.0418664257167951,0.0555778590068864,-0.0457985917811813,-0.101386297867158,0.0558372612857448,0.0241650407496843,-0.0135873192164102,0.220808518306903,-0.0550965307947345,-0.0564122514777895,-0.0912227357334641
"D02B5",-0.0408372259102989,0.0515398713041835,-0.0787189023530876,-0.0598401629566086,0.0161548140323909,-0.0427689762666446,0.0471038006311792,0.158601351797643,0.0849261396049974,0.0872514426023574,0.0110148903706128,-0.0242882599255512,0.0324365307038228,-0.0246429644423668,-0.105245467232902,0.0752750820867431,-0.0266266353997225,-0.0715125368801226,-0.0759134559678538
"D02B6",-0.0414315307675151,-0.0710290387065493,0.0662908535929855,0.0669032040685478,0.0170939545597672,0.189748016680431,0.148914699033381,0.00347586738359834,-0.0722223637725075,0.0462533143890273,-0.0964424230175651,0.0084393278825006,-0.0202156947463767,0.0718732888897588,0.0306082018577896,0.0503501477751172,-0.0088744784635764,-0.0365997653610072,-0.0196291429024302
"D03B1",0.0315445561556167,0.108118352001133,-0.0844520924352406,0.00885488630213748,0.0595950513725965,0.116786638623241,0.189063616095577,0.0386403161017862,-0.00374199217795102,0.136090167618589,0.0323115774183166,-0.0213915036317262,-0.0860490588824727,-0.0418439847817804,-0.127118945645354,-0.00395021899750658,-0.0555600213303184,-0.0562219760618022,-0.0528485929454104
"D03B2",0.0253768976888181,0.06687067648416,-0.102271518819417,0.0309345523026709,0.0926640194038083,-0.0747973832990114,0.0886569750974597,0.0613225548872214,0.021665047168319,0.0948208001323309,-0.0524063429396137,-0.121155400372691,-0.0140590655830172,-0.0540335944184901,-0.0929959734510079,-0.0330692135724135,-0.0658341985354629,-0.0562550409905965,0.0512250656834833
"D03B3",0.10621847782806,0.0609308855423191,0.0297788466155261,0.0230470858527469,0.0214555717111801,0.0785023609983472,0.0203534197896163,-0.0250986429453026,-0.050430392406012,-0.0348811236821672,0.121188829039464,-0.00203165261960556,-0.0112303344538017,0.0534258151314965,-0.00829451449077584,-0.0263300260978072,-0.00656263545991275,-0.0590080510588367,0.0595590727911687
"D03B4",-0.0317594062824628,-0.0256317384349055,0.021708397537168,-0.0298577711394603,-0.0763963641308274,0.106891913406194,0.0774996489323389,-0.0411346826222994,-0.0280123031560932,0.0587770003384199,-0.0742943344871421,-0.150494469426949,-0.00370706359888694,-0.0384778868502766,0.0490421714465559,0.0324414602299926,0.286992151685551,-0.00987659804570314,-0.0463139811710772
"D03B5",0.0696533722167275,0.0411518855824539,-0.000454126495997975,0.0625078805555263,-0.0168640052244629,-0.016838149465923,-0.0100643930162615,0.00112110898263602,-0.0667727371016669,-0.0300851338514136,-0.108049013469544,0.0540735192910523,0.00463713026305969,0.0263937456493951,0.0173683143754135,-0.00345305078619234,-0.0491490000109304,-0.0201860120599116,-0.0874281615875013
"D03B6",-0.0853810971419845,-0.0646673718086584,-0.0832552815803007,-0.0996310482861762,-0.0965470439675855,0.00909413782421454,0.0302361738264943,0.0722497426255268,0.0649529164810294,0.0617238443790962,0.139502189205117,-0.0698640682919536,0.0980253666193079,0.0656182417273785,0.0385744427429591,0.0297676104361773,-0.0534984219651954,-0.0552208872388886,0.0216394606885225
"D04B1",-0.0264514183070867,-0.0324067662681745,0.10329135551846,0.0858185941690124,0.065363333393017,0.0676544649473536,0.0395091716740702,-0.13402421675573,-0.0643456644669869,-0.0194725166282762,-0.134955857686344,0.0907510393486155,-0.0416970096940147,0.0391472742684869,0.0354715882158172,0.0825218546016391,-0.0441010060375613,-0.0169441100331216,-0.105596169747568
"D04B2",0.10337142487652,0.0720309991432404,0.0906328962506318,0.131045112408559,0.0774322347143925,0.110646155273273,-0.034133647065809,-0.108047606914494,-0.133176309287143,-0.141019709035855,0.0572624433321849,-0.0976379895488773,-0.0513362836571237,-0.104125996715862,0.0777488780792499,-0.0750138526885093,-0.0160258794756142,-0.0103601340449432,0.049087676861127
"D04B3",-0.0667128878066212,-0.0152492294169655,-0.081083652651823,-0.0908451733609988,-0.0789134861019639,-0.0781786271782426,-0.0916549677969701,0.0307924052699369,0.110892104176147,0.0142255224493959,0.00182002770133827,-0.0277473757668595,0.120264205489999,0.0442564829165776,0.0183219514920175,0.0455013858850182,-0.0383302649109277,-0.0273822986670967,0.0656341598944916
